"STATION","NAME","DATE","DX70","DX90","EMSN","EMXP","EMXT","SNOW","TAVG"
"USC00190736","BLUE HILL, MA US","1933-11","0","0","3.1","0.34","66","5.7","35.4"
"USC00190736","BLUE HILL, MA US","1933-12","0","0","9.8","0.85","47","20.3","24.1"
"USC00190736","BLUE HILL, MA US","1934-01","0","0","0.4","0.88","54","1.4","26.7"
"USC00190736","BLUE HILL, MA US","1934-02","0","0","15.0","1.90","41","34.7","14.1"
"USC00190736","BLUE HILL, MA US","1934-03","0","0","6.3","0.82","65","9.4","31.8"
"USC00190736","BLUE HILL, MA US","1934-04","2","0","0.0","1.68","73","0.0","46.0"
"USC00190736","BLUE HILL, MA US","1934-05","14","0",,"0.73","84",,"58.6"
"USC00190736","BLUE HILL, MA US","1934-06","20","1","0.0","1.28","91","0.0","65.3"
"USC00190736","BLUE HILL, MA US","1934-07","31","1","0.0","0.48","91","0.0","71.6"
"USC00190736","BLUE HILL, MA US","1934-08","22","0","0.0","0.67","86","0.0","65.6"
"USC00190736","BLUE HILL, MA US","1934-09","16","0","0.0","0.98","81","0.0","63.9"
"USC00190736","BLUE HILL, MA US","1934-10","0","0","4.2","0.86","68","4.2","47.5"
"USC00190736","BLUE HILL, MA US","1934-11","0","0","0.0",,"68","0.0","43.0"
"USC00190736","BLUE HILL, MA US","1934-12","0","0","0.8","1.24","62","1.5","26.7"
"USC00190736","BLUE HILL, MA US","1935-01","0","0","16.0","2.74","54","27.2","21.3"
"USC00190736","BLUE HILL, MA US","1935-02","0","0","6.3",,"49","10.4","25.3"
"USC00190736","BLUE HILL, MA US","1935-03","1","0","1.6","0.66","70","3.1","36.7"
"USC00190736","BLUE HILL, MA US","1935-04","2","0","4.0",,"83","5.1","43.7"
"USC00190736","BLUE HILL, MA US","1935-05","8","0","0.0","0.91","84","0.0","53.9"
"USC00190736","BLUE HILL, MA US","1935-06","20","0",,"1.23","86",,"63.7"
"USC00190736","BLUE HILL, MA US","1935-07","30","0",,"0.83","89",,"70.8"
"USC00190736","BLUE HILL, MA US","1935-08","25","1","0.0","2.28","91","0.0","69.0"
"USC00190736","BLUE HILL, MA US","1935-09","14","0",,"0.65","77",,"59.7"
"USC00190736","BLUE HILL, MA US","1935-10","5","0","0.0","0.27","76","0.0","51.6"
"USC00190736","BLUE HILL, MA US","1935-11","0","0","2.5","1.50","69","3.4","43.0"
"USC00190736","BLUE HILL, MA US","1935-12","0","0","0.8","0.63","43","0.9","23.9"
"USC00190736","BLUE HILL, MA US","1936-01","0","0",,"2.34","52",,"24.5"
"USC00190736","BLUE HILL, MA US","1936-02","0","0","9.0","1.76","43","12.2","19.7"
"USC00190736","BLUE HILL, MA US","1936-03","0","0",,"1.80","67",,"41.1"
"USC00190736","BLUE HILL, MA US","1936-04","3","0","0.0","1.04","79","0.0","42.4"
